[INFO ] 2020-06-02 02:50:00.963  --- orsys.common.database.DB[129] START CALL TO PROCEDURE OR FUNCTION: [BEGIN web_pkg_router.bootstrap(:req, :res, :error) ; END; ]
[INFO ] 2020-06-02 02:50:05.109  --- orsys.common.HttpApi.CommonHttpCall[117] START CALL TO: [doc_retyper]
[INFO ] 2020-06-02 02:50:05.110  --- orsys.common.database.DB[129] START CALL TO PROCEDURE OR FUNCTION: [BEGIN web_pkg_router.bootstrap(:req, :res, :error) ; END; ]
[INFO ] 2020-06-02 02:50:20.441  --- orsys.common.HttpApi.CommonHttpCall[117] START CALL TO: [doc_classer]
[INFO ] 2020-06-02 02:50:20.442  --- orsys.common.database.DB[129] START CALL TO PROCEDURE OR FUNCTION: [BEGIN web_pkg_router.bootstrap(:req, :res, :error) ; END; ]
[INFO ] 2020-06-02 02:50:20.762  --- orsys.common.HttpApi.CommonHttpCall[117] START CALL TO: [archives_ids]
[INFO ] 2020-06-02 02:50:20.763  --- orsys.common.database.DB[129] START CALL TO PROCEDURE OR FUNCTION: [BEGIN web_pkg_router.bootstrap(:req, :res, :error) ; END; ]
[INFO ] 2020-06-02 02:50:20.772  --- orsys.common.HttpApi.CommonHttpCall[117] START CALL TO: [docs_nonClasse]
[INFO ] 2020-06-02 02:50:20.772  --- orsys.common.database.DB[129] START CALL TO PROCEDURE OR FUNCTION: [BEGIN web_pkg_router.bootstrap(:req, :res, :error) ; END; ]
[INFO ] 2020-06-02 02:50:20.832  --- orsys.common.HttpApi.CommonHttpCall[117] START CALL TO: [docs_struArch]
[INFO ] 2020-06-02 02:50:20.833  --- orsys.common.database.DB[129] START CALL TO PROCEDURE OR FUNCTION: [BEGIN web_pkg_router.bootstrap(:req, :res, :error) ; END; ]
[INFO ] 2020-06-02 02:50:20.835  --- orsys.common.HttpApi.CommonHttpCall[117] START CALL TO: [docs_struArch]
[INFO ] 2020-06-02 02:50:20.835  --- orsys.common.database.DB[129] START CALL TO PROCEDURE OR FUNCTION: [BEGIN web_pkg_router.bootstrap(:req, :res, :error) ; END; ]
[INFO ] 2020-06-02 02:50:20.854  --- orsys.common.HttpApi.CommonHttpCall[117] START CALL TO: [docs_struArch]
[INFO ] 2020-06-02 02:50:20.855  --- orsys.common.database.DB[129] START CALL TO PROCEDURE OR FUNCTION: [BEGIN web_pkg_router.bootstrap(:req, :res, :error) ; END; ]
[INFO ] 2020-06-02 02:50:40.566  --- orsys.common.HttpApi.CommonHttpCall[117] START CALL TO: [doc_ids]
[INFO ] 2020-06-02 02:50:40.567  --- orsys.common.database.DB[129] START CALL TO PROCEDURE OR FUNCTION: [BEGIN web_pkg_router.bootstrap(:req, :res, :error) ; END; ]
[INFO ] 2020-06-02 02:50:45.283  --- orsys.common.HttpApi.CommonHttpCall[244] Dans getBlobDocById...
[INFO ] 2020-06-02 02:50:50.021  --- orsys.common.HttpApi.CommonHttpCall[244] Dans getBlobDocById...
[INFO ] 2020-06-02 02:50:54.071  --- orsys.common.HttpApi.CommonHttpCall[244] Dans getBlobDocById...
[INFO ] 2020-06-02 02:50:58.414  --- orsys.common.HttpApi.CommonHttpCall[244] Dans getBlobDocById...
